N-gram turi;N-gram;Chastota
Unigram;ağzıma;4
Unigram;kırmızı;4
Unigram;imkân;4
Unigram;arkadaşlarıma;4
Unigram;kapıyı;4
Unigram;hızla;4
Unigram;meselâ;4
Unigram;ellerini;4
Unigram;bunların;4
Unigram;önünde;4
Unigram;yaptım;4
Unigram;geliyordu;4
Unigram;fondanlar;4
Unigram;yeni;4
Unigram;onları;4
Unigram;olacaktı;4
Unigram;tutamadım;4
Unigram;daima;4
Unigram;beş;4
Unigram;eder;4
Unigram;hareketle;4
Unigram;tavırla;4
Unigram;size;4
Unigram;çünkü;4
Unigram;zaten;4
Unigram;vermeğe;4
Unigram;sözünü;4
Unigram;görünce;4
Unigram;mesele;4
Unigram;mersi;4
Unigram;nedense;4
Unigram;üstüne;4
Unigram;aynı;4
Unigram;sapan;4
Unigram;uzattı;4
Unigram;sade;4
Unigram;şeyden;4
Unigram;alay;4
Unigram;ondan;4
Unigram;üzerine;4
Unigram;bakıyordu;4
Unigram;yukarı;4
Unigram;kalmamıştı;4
Unigram;durdum;4
Unigram;mektep;4
Unigram;birinin;4
Unigram;ses;4
Unigram;hissediyordum;4
Unigram;aptal;4
Unigram;gölge;4
Unigram;beri;4
Unigram;garip;4
Unigram;bakıyordum;4
Unigram;sevmek;4
Unigram;eve;4
Unigram;hiçbir;4
Unigram;dışarı;4
Unigram;ateş;4
Unigram;önüne;4
Unigram;olursa;4
Unigram;mektebe;4
Unigram;iri;4
Unigram;bazan;4
Unigram;şeyleri;4
Unigram;başında;4
Unigram;bahçede;4
Unigram;mesut;4
Unigram;mu;4
Unigram;yaz;4
Unigram;benden;4
Unigram;üç;4
Unigram;çocukları;4
Unigram;olmasına;4
Unigram;davet;4
Unigram;besime;4
Unigram;biz;4
Unigram;imkânı;4
Unigram;ilâve;4
Unigram;sürü;4
Unigram;arasına;4
Unigram;benziyen;4
Unigram;burnu;4
Unigram;öte;4
Unigram;sahiden;4
Unigram;etme;4
Unigram;yaşında;4
Unigram;marika;4
Unigram;kızım;4
Unigram;yanımızdan;4
Unigram;kenarındaki;4
Unigram;evin;4
Unigram;verdim;4
Unigram;müjgândan;4
Unigram;yatağımda;4
Unigram;sabaha;4
Unigram;köpek;4
Unigram;onlar;4
Unigram;sizi;4
Unigram;gözlerimi;4
Unigram;araba;4
Unigram;sabah;4
Unigram;yürümeğe;4
Unigram;başımdan;4
Unigram;arkamdan;4
Unigram;salıncağın;4
Unigram;salıncağa;4
Unigram;çocuklar;4
Unigram;korkmayız;4
Unigram;hele;3
Unigram;sarı;3
Unigram;bunları;3
Unigram;mendille;3
Unigram;biliyordum;3
Unigram;canım;3
Unigram;parluvarın;3
Unigram;boş;3
Unigram;ortada;3
Unigram;atıldım;3
Unigram;duruyordu;3
Unigram;üstünde;3
Unigram;tutarak;3
Unigram;hakkı;3
Unigram;evvelki;3
Unigram;zannederim;3
Unigram;yalancı;3
Unigram;kutuyu;3
Unigram;açtım;3
Unigram;resimli;3
Unigram;bebek;3
Unigram;sırf;3
Unigram;buraya;3
Unigram;vermek;3
Unigram;acaba;3
Unigram;yapayım;3
Unigram;vakit;3
Unigram;ediyordu;3
Unigram;hayret;3
Unigram;pişman;3
Unigram;defa;3
Unigram;ikinci;3
Unigram;geldiğini;3
Unigram;ispat;3
Unigram;değildir;3
Unigram;rolü;3
Unigram;baktım;3
Unigram;istedi;3
Unigram;içini;3
Unigram;çekerek;3
Unigram;bundan;3
Unigram;ciddî;3
Unigram;sevinçle;3
Unigram;saçma;3
Unigram;halbuki;3
Unigram;yazık;3
Unigram;âdeta;3
Unigram;olacağım;3
Unigram;ettim;3
Unigram;arkaya;3
Unigram;tarafa;3
Unigram;serbest;3
Unigram;olmadığı;3
Unigram;haber;3
Unigram;gürültü;3
Unigram;açılmıştı;3
Unigram;kapının;3
Unigram;arkasında;3
Unigram;olmıyan;3
Unigram;kuzenime;3
Unigram;belli;3
Unigram;etmeden;3
Unigram;söyliyerek;3
Unigram;açık;3
Unigram;korku;3
Unigram;rol;3
Unigram;mişel;3
Unigram;türkçe;3
Unigram;sütninenin;3
Unigram;biliyorum;3
Unigram;çocuğu;3
Unigram;bilâkis;3
Unigram;ediyor;3
Unigram;kelime;3
Unigram;dehşetli;3
Unigram;tarafımdan;3
Unigram;suvenir;3
Unigram;mişelin;3
Unigram;aksi;3
Unigram;tuttum;3
Unigram;kucağına;3
Unigram;bırakarak;3
Unigram;rezil;3
Unigram;yerde;3
Unigram;bahçeye;3
Unigram;çıktım;3
Unigram;vücudumda;3
Unigram;kendisi;3
Unigram;diyebilirim;3
Unigram;geldim;3
Unigram;eski;3
Unigram;tutamıyarak;3
Unigram;iş;3
Unigram;teyzeme;3
Unigram;ayağa;3
Unigram;arada;3
Unigram;aklıma;3
Unigram;köpeği;3
Unigram;yavaşça;3
Unigram;neriman;3
Unigram;mesudolsun;3
Unigram;bari;3
Unigram;misafirin;3
Unigram;lâkırdıyı;3
Unigram;başa;3
Unigram;verdi;3
Unigram;dört;3
Unigram;uzak;3
Unigram;bol;3
Unigram;aziz;3
Unigram;suya;3
Unigram;öteki;3
Unigram;ağır;3
Unigram;buldum;3
Unigram;derece;3
Unigram;ediyordum;3
Unigram;kenarında;3
Unigram;tehlikeli;3
Unigram;üzerinde;3
Unigram;geçer;3
Unigram;ince;3
Unigram;yapacağız;3
Unigram;kendisini;3
Unigram;tecrübe;3
Unigram;havaya;3
Unigram;kaldırdım;3
Unigram;gülüyordu;3
Unigram;korkuyor;3
Unigram;elleriyle;3
Unigram;elimde;3
Unigram;koşmağa;3
Unigram;denizin;3
Unigram;yolda;3
Unigram;gidip;3
Unigram;istiyorsun;3
Unigram;arkasından;3
Unigram;gözlerim;3
Unigram;dedin;3
Unigram;kahkaha;3
Unigram;sadece;3
Unigram;sesim;3
Unigram;eliyle;3
Unigram;kuru;3
Unigram;istersen;3
Unigram;yerimden;3
Unigram;istemiyorum;3
Unigram;birtakım;3
Unigram;ağaçların;3
Unigram;geceyi;3
Unigram;üstü;3
Unigram;hayli;3
Unigram;geldiği;3
Unigram;heyecanla;3
Unigram;yüz;3
Unigram;yüze;3
Unigram;geldiğimiz;3
Unigram;arka;3
Unigram;çekemez;3
Unigram;ister;3
Unigram;odama;3
Unigram;ikimiz;3
Unigram;başladık;3
Unigram;falan;3
Unigram;dakika;3
Unigram;gözlerine;3
Unigram;yüzümü;3
Unigram;hâlâ;3
Unigram;his;3
Unigram;merdiven;3
Unigram;bugün;3
Unigram;zengin;3
Unigram;başı;3
Unigram;göz;3
Unigram;bayıra;3
Unigram;karşıma;3
Unigram;geçen;3
Unigram;salıncağı;3
Unigram;gittikçe;3
Unigram;çocuğun;3
Unigram;salıncak;3
Unigram;parçacık;3
Unigram;arasından;3
Unigram;yeter;3
Unigram;iplerin;3
Unigram;ağzından;3
Unigram;geçti;3
Unigram;zannerderim;3
Unigram;kere;3
Unigram;bedbaht;3
Unigram;yüzük;3
Unigram;âlâ;2
Unigram;cebinden;2
Unigram;ayna;2
Unigram;yüzümün;2
Unigram;olmadığını;2
Unigram;ehemmiyeti;2
Unigram;karşısına;2
Unigram;çehreyle;2
Unigram;kıs;2
Unigram;cezasını;2
Unigram;gözüme;2
Unigram;içeri;2
Unigram;hareketime;2
Unigram;mâna;2
Unigram;verecek;2
Unigram;yapalım;2
Unigram;olmuştu;2
Unigram;ayakta;2
Unigram;gelecekti;2
Unigram;kadın;2
Unigram;süslü;2
Unigram;ellerimin;2
Unigram;sırma;2
Unigram;bağlı;2
Unigram;anladım;2
Unigram;boyalarını;2
Unigram;deliliği;2
Unigram;parmaklarımı;2
Unigram;eteklerime;2
Unigram;elimle;2
Unigram;sıkı;2
Unigram;parça;2
Unigram;gerçi;2
Unigram;şokolalar;2
Unigram;nevi;2
Unigram;inşallah;2
Unigram;tesadüf;2
Unigram;ağzında;2
Unigram;kıymetli;2
Unigram;gösterdiği;2
Unigram;içinden;2
Unigram;kitap;2
Unigram;çocuklara;2
Unigram;masalları;2
Unigram;miydi;2
Unigram;bilmiyorum;2
Unigram;dudaklarıma;2
Unigram;çocuktunuz;2
Unigram;insanlara;2
Unigram;neden;2
Unigram;hayretle;2
Unigram;anlamadım;2
Unigram;anlaşılmıyacak;2
Unigram;yani;2
Unigram;haline;2
Unigram;şaşkın;2
Unigram;bakmakta;2
Unigram;dudaklarımı;2
Unigram;aranırsa;2
Unigram;istediğimi;2
Unigram;oluyor;2
Unigram;sinirli;2
Unigram;bağını;2
Unigram;kopardım;2
Unigram;resmî;2
Unigram;hafifçe;2
Unigram;ermiş;2
Unigram;yetişmiş;2
Unigram;işitmek;2
Unigram;kitaplar;2
Unigram;sizden;2
Unigram;olsaydı;2
Unigram;tavrı;2
Unigram;sözleri;2
Unigram;kelimelerle;2
Unigram;gidiyordu;2
Unigram;olmamak;2
Unigram;kavuşturarak;2
Unigram;gözlerime;2
Unigram;saçları;2
Unigram;hareketiyle;2
Unigram;mademki;2
Unigram;mahsus;2
Unigram;meşgul;2
Unigram;zamanda;2
Unigram;bak;2
Unigram;konuşuyordum;2
Unigram;ağzına;2
Unigram;neler;2
Unigram;fondanı;2
Unigram;kapmak;2
Unigram;kaçırdım;2
Unigram;dilimi;2
Unigram;çıkardım;2
Unigram;sizin;2
Unigram;bakın;2
Unigram;fondanın;2
Unigram;koydum;2
Unigram;şaka;2
Unigram;istemem;2
Unigram;hepsi;2
Unigram;aramızda;2
Unigram;icabı;2
Unigram;evdekilerden;2
Unigram;onlara;2
Unigram;altına;2
Unigram;çıkmağa;2
Unigram;yanındaki;2
Unigram;kulak;2
Unigram;odanın;2
Unigram;hareket;2
Unigram;kapıya;2
Unigram;göreyim;2
Unigram;camın;2
Unigram;gelmiştir;2
Unigram;altındaki;2
Unigram;kızın;2
Unigram;şüphem;2
Unigram;yapacaktım;2
Unigram;biribirine;2
Unigram;kur;2
Unigram;sifatiyle;2
Unigram;yolunu;2
Unigram;anlıyacak;2
Unigram;koridorda;2
Unigram;masal;2
Unigram;ha;2
Unigram;kaldı;2
Unigram;torunu;2
Unigram;senelerden;2
Unigram;elbette;2
Unigram;nereye;2
Unigram;gülümsedi;2
Unigram;biçarenin;2
Unigram;rica;2
Unigram;ederim;2
Unigram;delilik;2
Unigram;oynıyan;2
Unigram;bükerek;2
Unigram;altı;2
Unigram;olsam;2
Unigram;anlıyor;2
Unigram;çıkmıyordu;2
Unigram;alacaksın;2
Unigram;karışıyordu;2
Unigram;soluk;2
Unigram;soluğa;2
Unigram;etrafta;2
Unigram;işitmeyince;2
Unigram;döndüm;2
Unigram;doğruldum;2
Unigram;içeride;2
Unigram;titrek;2
Unigram;çıkmış;2
Unigram;suları;2
Unigram;düşünüyordum;2
Unigram;yakıp;2
Unigram;uğradı;2
Unigram;çağırmağa;2
Unigram;yüreğim;2
Unigram;sınıf;2
Unigram;beyaz;2
Unigram;çocuğa;2
Unigram;sık;2
Unigram;taraflarda;2
Unigram;oturan;2
Unigram;hasta;2
Unigram;babamın;2
Unigram;nedir;2
Unigram;şaşaladı;2
Unigram;uydurma;2
Unigram;merak;2
Unigram;ehemmiyetli;2
Unigram;varmış;2
Unigram;hafta;2
Unigram;çıyan;2
Unigram;saklıyarak;2
Unigram;dostlarınızla;2
Unigram;günden;2
Unigram;ettiği;2
Unigram;açıyor;2
Unigram;hakikat;2
Unigram;dul;2
Unigram;geldikçe;2
Unigram;dişlerimle;2
Unigram;edilemiyecek;2
Unigram;görünüyordu;2
Unigram;köpeğini;2
Unigram;memnun;2
Unigram;çaresiz;2
Unigram;alaycı;2
Unigram;hanımefendi;2
Unigram;yerine;2
Unigram;ay;2
Unigram;çoktan;2
Unigram;aydan;2
Unigram;üçüncü;2
Unigram;kucağıma;2
Unigram;bağ;2
Unigram;atlıyarak;2
Unigram;bahçenin;2
Unigram;etrafında;2
Unigram;seyahat;2
Unigram;tekirdağına;2
Unigram;malûm;2
Unigram;bunlardan;2
Unigram;kızları;2
Unigram;vardır;2
Unigram;akraba;2
Unigram;farkın;2
Unigram;çılgın;2
Unigram;yelkenleri;2
Unigram;gelir;2
Unigram;birini;2
Unigram;istanbula;2
Unigram;geldi;2
Unigram;ferideyi;2
Unigram;konuşma;2
Unigram;seksen;2
Unigram;görmediğim;2
Unigram;olmuş;2
Unigram;anlaştık;2
Unigram;dikkat;2
Unigram;yüksek;2
Unigram;bazı;2
Unigram;yerleri;2
Unigram;dik;2
Unigram;sonradan;2
Unigram;alıştı;2
Unigram;saatlerce;2
Unigram;suların;2
Unigram;boyunca;2
Unigram;yürüye;2
Unigram;uzaklara;2
Unigram;çın;2
Unigram;almış;2
Unigram;ilerideki;2
Unigram;çıkararak;2
Unigram;söylesem;2
Unigram;bulundum;2
Unigram;gel;2
Unigram;edelim;2
Unigram;kurtarmağa;2
Unigram;suyun;2
Unigram;olursan;2
Unigram;rahat;2
Unigram;kesilmişti;2
Unigram;ağzını;2
Unigram;kapıyor;2
Unigram;karışlık;2
Unigram;çekilmiş;2
Unigram;ettin;2
Unigram;edeceğini;2
Unigram;güldüm;2
Unigram;balıkçılar;2
Unigram;incecik;2
Unigram;taraflarında;2
Unigram;balık;2
Unigram;sordum;2
Unigram;sualler;2
Unigram;ikisi;2
Unigram;besbelli;2
Unigram;bulmakta;2
Unigram;güçlük;2
Unigram;an;2
Unigram;durakladıktan;2
Unigram;istanbuldan;2
Unigram;yürüdüm;2
Unigram;teyzeler;2
Unigram;ettiler;2
Unigram;hâsılı;2
Unigram;kol;2
Unigram;kola;2
Unigram;süvari;2
Unigram;etrafımızda;2
Unigram;etmiştim;2
Unigram;zâbit;2
Unigram;yer;2
Unigram;yokmuş;2
Unigram;mütemadiyen;2
Unigram;arkasına;2
Unigram;baktı;2
Unigram;istiyorum;2
Unigram;muamelesi;2
Unigram;güldü;2
Unigram;koşulacak;2
Unigram;gelmeden;2
Unigram;ağaçlardan;2
Unigram;dolu;2
Unigram;çirkin;2
Unigram;eğlenerek;2
Unigram;biliyor;2
Unigram;büyüdükçe;2
Unigram;oluyorsun;2
Unigram;toplıyarak;2
Unigram;atmağa;2
Unigram;kolları;2
Unigram;havada;2
Unigram;uzakta;2
Unigram;kumsala;2
Unigram;kaya;2
Unigram;oturdu;2
Unigram;dibine;2
Unigram;itiraf;2
Unigram;mıydı;2
Unigram;hissederek;2
Unigram;kâh;2
Unigram;gayret;2
Unigram;sözümü;2
Unigram;anladığımı;2
Unigram;söylediğim;2
Unigram;dese;2
Unigram;beğenirsiniz;2
Unigram;seviyorsun;2
Unigram;çığlık;2
Unigram;kopararak;2
Unigram;yoldan;2
Unigram;aşkına;2
Unigram;yapma;2
Unigram;alacağım;2
Unigram;hatır;2
Unigram;aldatmak;2
Unigram;titriyerek;2
Unigram;ediyorsun;2
Unigram;çocuğum;2
Unigram;oradan;2
Unigram;oraya;2
Unigram;boynuna;2
Unigram;evlenirsiniz;2
Unigram;bakayım;2
Unigram;karşısında;2
Unigram;kuvvet;2
Unigram;uykuya;2
Unigram;işittim;2
Unigram;yerli;2
Unigram;bugünkü;2
Unigram;ata;2
Unigram;gayet;2
Unigram;anlamak;2
Unigram;görmemezlikten;2
Unigram;at;2
Unigram;üst;2
Unigram;kolundan;2
Unigram;hal;2
Unigram;bende;2
Unigram;halinde;2
Unigram;parlıyor;2
Unigram;yüzü;2
Unigram;kaçtım;2
Unigram;sonbahar;2
Unigram;başlamış;2
Unigram;tutup;2
Unigram;başlıyorum;2
Unigram;arkadakiler;2
Unigram;geçip;2
Unigram;işimizi;2
Unigram;bitiririz;2
Unigram;köpeğin;2
Unigram;hücumuna;2
Unigram;kaçmağa;2
Unigram;elimden;2
Unigram;istiyordu;2
Unigram;erkek;2
Unigram;salladı;2
Unigram;onlardan;2
Unigram;burada;2
Unigram;vallahi;2
Unigram;dizlerimin;2
Unigram;ayağımı;2
Unigram;göze;2
Unigram;sakladım;2
Unigram;ziyafeti;2
Unigram;ellerim;2
Unigram;yapış;2
Unigram;pul;2
Unigram;söze;2
Unigram;kuzenimi;2
Unigram;aralarına;2
Unigram;kendilerini;2
Unigram;alarga;2
Unigram;istanbulda;2
Unigram;vurdum;2
Unigram;içimden;2
Unigram;idi;2
Unigram;düşündüm;2
Unigram;gelmişti;2
Unigram;geç;2
Unigram;yorgunluktan;2
Unigram;duruyor;2
Unigram;bilmem;2
Unigram;yanlarına;2
Unigram;misafire;2
Unigram;bileğimden;2
Unigram;silkindim;2
Unigram;yatmağa;2
Unigram;uyuyordum;2
Unigram;kaldırdı;2
Unigram;çenemi;2
Unigram;lâmbayı;2
Unigram;ucunda;2
Unigram;karanlığına;2
Unigram;söyliyecek;2
Unigram;karşıya;2
Unigram;kaçıyordum;2
Unigram;eniştem;2
Unigram;çeşit;2
Unigram;yolumu;2
Unigram;kesti;2
Unigram;emin;2
Unigram;parmaklığı;2
Unigram;arasındaki;2
Unigram;komik;2
Unigram;ilk;2
Unigram;sözüne;2
Unigram;eğlendirecek;2
Unigram;ikişer;2
Unigram;yağmur;2
Unigram;saklıyor;2
Unigram;durgun;2
Unigram;kalan;2
Unigram;dönük;2
Unigram;vücudumu;2
Unigram;çevirince;2
Unigram;bugun;2
Unigram;anlatıyordu;2
Unigram;itiraz;2
Unigram;günler;2
Unigram;buranın;2
Unigram;esirgesin;2
Unigram;sizinle;2
Unigram;konuşa;2
Unigram;tuttu;2
Unigram;tekirdağında;2
Unigram;hain;2
Unigram;şeytan;2
Unigram;işareti;2
Unigram;yaparak;2
Unigram;kavga;2
Unigram;gittikten;2
Unigram;gördüğüm;2
Unigram;konuşuyorlardı;2
Unigram;dimdik;2
Unigram;fenası;2
Unigram;tarafında;2
Unigram;nazlı;2
Unigram;olacaktım;2
Unigram;yürüdükten;2
Unigram;tırmanmağa;2
Unigram;kaybetmiş;2
Unigram;facia;2
Unigram;bağıra;2
Unigram;arasira;2
Unigram;bağırıyordu;2
Unigram;edemiyerek;2
Unigram;suç;2
Unigram;kesik;2
Unigram;çıkıyor;2
Unigram;avuçlarımı;2
Unigram;oldum;2
Unigram;diyordum;2
Unigram;münasebet;2
Unigram;gürgen;2
Unigram;kolan;2
Unigram;arkadaşlarım;2
Unigram;çocukların;2
Unigram;mâni;2
Unigram;birer;2
Unigram;atladım;2
Unigram;ipleri;2
Unigram;düşüp;2
Unigram;başlamıştım;2
Unigram;fırsat;2
Unigram;ayrı;2
Unigram;kırk;2
Unigram;yedi;2
Unigram;diyorum;2
Unigram;dünyada;2
Unigram;kibrime;2
Unigram;nafile;2
Unigram;görürüz;2
Unigram;çocukluk;2
Unigram;olacağını;2
Unigram;muhafaza;2
Unigram;dizlerimi;2
Unigram;gitgide;2
Unigram;yaprak;2
Unigram;pırıl;2
Unigram;dizlerim;2
Unigram;kalmış;2
Unigram;anlamadı;2
Unigram;dokunuyordu;2
Unigram;etmeğe;2
Unigram;yerin;2
Unigram;göğsüne;2
Unigram;patır;2
Unigram;korkuyorum;2
Unigram;dar;2
Unigram;inatla;2
Unigram;henüz;2
Unigram;bırakmak;2
Unigram;söylemeğe;2
Unigram;olmakla;2
Unigram;biliyorsun;2
Unigram;alıyor;2
Unigram;şartla;2
Unigram;şamarcık;2
Unigram;edemiyordum;2
Unigram;kös;2
Unigram;bucak;2
Unigram;hakkım;2
Unigram;miyim;2
Unigram;kelimeyi;2
Unigram;yapıyorum;2
Unigram;tatilin;2
Unigram;sargı;2
Unigram;haritalarını;1
Unigram;misafirini;1
Unigram;gör;1
Unigram;haritaları;1
Unigram;bırakayım;1
Unigram;suratla;1
Unigram;görmeğe;1
Unigram;gideyim;1
Unigram;yanımdaki;1
Unigram;arkadaşım;1
Unigram;önlüğünün;1
Unigram;minimini;1
Unigram;çıkarmış;1
Unigram;eğlenir;1
Unigram;koymuştu;1
Unigram;ağzımın;1
Unigram;hali;1
Unigram;felâketti;1
Unigram;yazı;1
Unigram;yazarken;1
Unigram;kalemi;1
Unigram;soktuğum;1
Unigram;fırçayı;1
Unigram;sokmuştum;1
Unigram;dudaklarım;1
Unigram;mor;1
Unigram;boyalara;1
Unigram;boyanmıştı;1
Unigram;su;1
Unigram;veya;1
Unigram;sabunla;1
Unigram;çıkarmama;1
Unigram;uğraşırsam;1
Unigram;sıvaştıracağımı;1
Unigram;çıkmayı;1
Unigram;isterse;1
Unigram;yaparım;1
Unigram;gelenin;1
Unigram;öğrenerek;1
Unigram;gülen;1
Unigram;kuryapan;1
Unigram;nişanlanmağa;1
Unigram;hazırlanan;1
Unigram;vaziyetindeyim;1
Unigram;hay;1
Unigram;koridordan;1
Unigram;çıkarken;1
Unigram;ilişen;1
Unigram;sıkıntımı;1
Unigram;arttırdı;1
Unigram;önü;1
Unigram;olaydı;1
Unigram;girmiyecektim;1
Unigram;yabancılar;1
Unigram;dolaşıyordu;1
Unigram;açarak;1
Unigram;fırtına;1
Unigram;pencerenin;1
Unigram;doğruca;1
Unigram;gitsem;1
Unigram;biribirimizin;1
Unigram;tutmak;1
Unigram;eli;1
Unigram;temiz;1
Unigram;ıslak;1
Unigram;boyasiyle;1
Unigram;berbadedecektim;1
Unigram;masanın;1
Unigram;tellerle;1
Unigram;paketler;1
Unigram;ilişti;1
Unigram;ait;1
Unigram;gürültüye;1
Unigram;getirmekten;1
Unigram;dudaklarımın;1
Unigram;perdesi;1
Unigram;altında;1
Unigram;saklamaktan;1
Unigram;siyah;1
Unigram;önlüğümün;1
Unigram;eteklerini;1
Unigram;kutuların;1
Unigram;muhteşem;1
Unigram;reverans;1
Unigram;silmek;1
Unigram;ihtiyacını;1
Unigram;ihmal;1
Unigram;etmedim;1
Unigram;kutulara;1
Unigram;öpücük;1
Unigram;göndererek;1
Unigram;dudağımın;1
Unigram;hafiflettim;1
Unigram;yaklaşmıştı;1
Unigram;iltifat;1
Unigram;iltifatlar;1
Unigram;beyefendi;1
Unigram;kılıcımızın;1
Unigram;mahcuboluyor;1
Unigram;günkü;1
Unigram;kutuda;1
Unigram;fondan;1
Unigram;hemşirelerine;1
Unigram;kutularda;1
Unigram;mümkün;1
Unigram;tarifine;1
Unigram;eritirken;1
Unigram;yüreği;1
Unigram;eriyor;1
Unigram;bulacaksın;1
